Lot URL,Lot #,Est. Retail Value,Sale Date,Year,Make,Model,Engine Type,Cylinders,VIN,Grid/Row,Title Code,Odometer,Odometer Description,Damage Description,Current Bid,My Bid,Item Number,Sale Name,Repair Estimate
https://www.copart.com/lotDetail/46343101,46343101,0 USD,10/28/2021 04:00 pm CEST,2011,AUDI,A5 PREMIUM,2.0L  4,4,WAULFAFR9BA085874,INSP,CERTIFICATE OF TITLE (P),"110,703 A",ACTUAL,MINOR DENT/SCRATCHES,825 USD,0 USD,87,CT - HARTFORD SPRINGFIELD,0 USD
https://www.copart.com/lotDetail/47281561,47281561,0 USD,10/28/2021 04:00 pm CEST,1990,MAZDA,MX-5 MIATA,1.6L  4,4,JM1NA351XL0115201,K040,BILL OF SALE - PARTS ONLY,"145,118 E",EXEMPT,REAR END,200 USD,0 USD,27,CT - HARTFORD SPRINGFIELD,0 USD
https://www.copart.com/lotDetail/49539481,49539481,"29,180 USD",10/28/2021 04:00 pm CEST,2021,KIA,SPORTAGE E,2.4L  4,4,KNDPNCAC2M7858688,J040,CERT OF TITLE-SALVAGE,"6,370 A",ACTUAL,FRONT END,"7,400 USD",0 USD,249,CT - HARTFORD SPRINGFIELD,"26,827 USD"
https://www.copart.com/lotDetail/51012981,51012981,"29,944 USD",10/28/2021 04:00 pm CEST,2019,HYUNDAI,SONATA LIM,2.0L  4,4,5NPE34AB4KH792681,K040,CERT OF TITLE-SALVAGE,"14,317 A",ACTUAL,ROLLOVER,"4,050 USD",0 USD,199,CT - HARTFORD SPRINGFIELD,"16,039 USD"
https://www.copart.com/lotDetail/51016781,51016781,0 USD,10/28/2021 04:00 pm CEST,2018,BMW,340 XI,3.0L  6,6,WBA8B7G58JNT71223,J030,CERT OF TITLE-FLOOD SALVAGE,"49,239 A",ACTUAL,WATER/FLOOD,"5,700 USD",0 USD,241,CT - HARTFORD SPRINGFIELD,0 USD
https://www.copart.com/lotDetail/51020631,51020631,"2,575 USD",10/28/2021 04:00 pm CEST,2001,FORD,EXPLORER S,4.0L  6,6,1FMYU70E81UC18785,G040,CERT OF TITLE-PARTS ONLY SALVA,"145,013 A",ACTUAL,WATER/FLOOD,200 USD,0 USD,29,CT - HARTFORD SPRINGFIELD,0 USD
https://www.copart.com/lotDetail/52111191,52111191,0 USD,10/28/2021 04:00 pm CEST,2020,AUDI,Q5 PREMIUM,2.0L  4,4,WA1BNAFY2L2000646,L030,CERT OF TITLE SLVG REBUILDABLE,0 N,NOT ACTUAL,FRONT END,175 USD,0 USD,251,CT - HARTFORD SPRINGFIELD,0 USD
https://www.copart.com/lotDetail/52380051,52380051,"59,000 USD",10/28/2021 04:00 pm CEST,1993,LAND ROVER,RANGE ROVE,4.2L  8,8,SALHC134XPA631205,G040,CERT OF TITLE,"73,365 E",EXEMPT,MINOR DENT/SCRATCHES,200 USD,0 USD,8,CT - HARTFORD SPRINGFIELD,0 USD
https://www.copart.com/lotDetail/53384901,53384901,"13,595 USD",10/28/2021 04:00 pm CEST,2013,HONDA,PILOT EX,3.5L  6,6,5FNYF4H49DB024708,K040,CERT OF TITLE-SALVAGE,"124,763 A",ACTUAL,FRONT END,"1,600 USD",0 USD,149,CT - HARTFORD SPRINGFIELD,"4,698 USD"
https://www.copart.com/lotDetail/53480551,53480551,"20,304 USD",10/28/2021 04:00 pm CEST,2018,HONDA,CIVIC LX,2.0L  4,4,2HGFC2F54JH562739,A010,CERT OF TITLE-SALVAGE,"34,861 A",ACTUAL,FRONT END,"3,100 USD",0 USD,136,CT - HARTFORD SPRINGFIELD,"10,819 USD"
https://www.copart.com/lotDetail/53644721,53644721,0 USD,10/28/2021 04:00 pm CEST,2006,TOYOTA,4RUNNER SR,4.7L  8,8,JTEBT14R768035235,G030,CERTIFICATE OF TITLE,"242,147 A",ACTUAL,MINOR DENT/SCRATCHES,200 USD,0 USD,184,CT - HARTFORD SPRINGFIELD,0 USD
https://www.copart.com/lotDetail/53902151,53902151,0 USD,10/28/2021 04:00 pm CEST,2004,JEEP,LIBERTY SP,3.7L  6,6,1J4GL48K74W167522,K020,CERT OF TITLE-SALVAGE,"139,786 A",ACTUAL,UNDERCARRIAGE,375 USD,0 USD,16,CT - HARTFORD SPRINGFIELD,0 USD
https://www.copart.com/lotDetail/53989841,53989841,"18,784 USD",10/28/2021 04:00 pm CEST,2018,HYUNDAI,ELANTRA SE,2.0L  4,4,5NPD84LF8JH371333,A010,CERT OF TITLE-PARTS ONLY SALVA,"38,250 A",ACTUAL,ALL OVER,"2,700 USD",0 USD,234,CT - HARTFORD SPRINGFIELD,"18,020 USD"
https://www.copart.com/lotDetail/54028031,54028031,"54,612 USD",10/28/2021 04:00 pm CEST,2016,LAND ROVER,RANGE ROVE,3.0L  6,6,SALGS2VF3GA263999,F040,CERTIFICATE OF TITLE,"173,560 A",ACTUAL,NORMAL WEAR,"23,700 USD",0 USD,181,CT - HARTFORD SPRINGFIELD,0 USD
https://www.copart.com/lotDetail/54498421,54498421,"25,203 USD",10/28/2021 04:00 pm CEST,2017,HYUNDAI,SONATA SPO,2.4L  4,4,5NPE34AF5HH592100,H030,CERT OF TITLE-SALVAGE,0 N,NOT ACTUAL,ALL OVER,"1,150 USD",0 USD,176,CT - HARTFORD SPRINGFIELD,"24,160 USD"
https://www.copart.com/lotDetail/54544521,54544521,0 USD,10/28/2021 04:00 pm CEST,2009,SUBARU,IMPREZA 2.,2.5L  4,4,JF1GE616X9G511313,J030,CERTIFICATE OF TITLE,"109,885 A",ACTUAL,MINOR DENT/SCRATCHES,"1,700 USD",0 USD,74,CT - HARTFORD SPRINGFIELD,0 USD
https://www.copart.com/lotDetail/55029881,55029881,"20,193 USD",10/28/2021 04:00 pm CEST,2015,AUDI,Q5 PREMIUM,3.0L  6,6,WA1DGAFP8FA087456,HVY1,CERT OF TITLE-SALVAGE,"119,962 A",ACTUAL,FRONT END,"1,600 USD",0 USD,167,CT - HARTFORD SPRINGFIELD,0 USD
https://www.copart.com/lotDetail/55336791,55336791,0 USD,10/28/2021 04:00 pm CEST,2015,TOYOTA,SCION TC,2.5L  4,4,JTKJF5C7XFJ004884,G030,CERTIFICATE OF TITLE (P),"103,636 A",ACTUAL,MINOR DENT/SCRATCHES,825 USD,0 USD,164,CT - HARTFORD SPRINGFIELD,0 USD
https://www.copart.com/lotDetail/55460941,55460941,"23,025 USD",10/28/2021 04:00 pm CEST,2015,HYUNDAI,GENESIS 3.,3.8L  6,6,KMHGN4JE0FU039461,HVY2,CERT OF TITLE-SALVAGE,"74,885 A",ACTUAL,VANDALISM,"3,250 USD",0 USD,139,CT - HARTFORD SPRINGFIELD,"8,409 USD"
